OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
CZ-2C R/B,2004-046B,2025-06-07T16:15:02.023200,14.26832904,.0138503,98.1942,85.8602,247.9813,110.6607,0,U,28480,999,6928,.54164E-4,.103E-5,0
ARIANE 5 R/B,2004-049H,2025-06-08T03:55:53.479488,14.84501244,.0085874,98.2329,313.0414,159.8023,200.6622,0,U,28499,999,10507,.13125E-3,.1117E-4,0
CZ-2D R/B,2005-024B,2025-06-07T18:04:49.022688,15.43525985,.0004482,97.3667,162.7332,326.5097,33.5867,0,U,28738,999,9718,.35908E-3,.16036E-3,0
ALOS (DAICHI),2006-002A,2025-06-07T20:11:21.683616,14.68707932,.0002292,98.0841,112.1060,83.3409,276.8057,0,U,28931,999,3312,.23987E-3,.1348E-4,0
H-2A R/B,2006-002B,2025-06-07T21:15:50.807808,15.10895814,.0059824,98.2109,279.2448,93.1763,267.6312,0,U,28932,999,5287,.42045E-3,.7233E-4,0
RESURS-DK 1,2006-021A,2025-06-07T17:54:33.621408,15.10958875,.000581,69.9325,227.1400,214.5601,145.5187,0,U,29228,999,4597,.11915E-3,.1887E-4,0
GENESIS 1,2006-029A,2025-06-08T00:22:40.873440,15.97467052,.0026511,64.4964,9.6679,277.8109,82.0043,0,U,29252,999,4607,.62563E-3,.289156E-2,.40833E-4
CZ-4B R/B,2006-046C,2025-06-08T01:58:11.107200,15.13746822,.0036939,97.5955,199.7220,134.9545,225.4692,0,U,29507,999,1850,.19698E-3,.3541E-4,0
CZ-2C R/B,2007-010B,2025-06-08T02:21:19.524096,14.20127258,.0059286,98.3784,281.4142,13.9151,346.3643,0,U,31114,999,94075,.557E-4,.8E-6,0
COSMO-SKYMED 1,2007-023A,2025-06-08T03:25:10.972704,14.90967848,.0001448,97.8871,343.5851,109.3577,250.7797,0,U,31598,999,97394,.74133E-4,.676E-5,0
GENESIS 2,2007-028A,2025-06-07T21:01:40.420992,15.78212005,.0021155,64.4758,63.7451,305.3593,54.5582,0,U,31789,999,99264,.53022E-3,.93447E-3,0
COSMOS 2428,2007-029A,2025-06-08T02:58:45.941376,14.12854707,.0005572,70.9377,59.6999,274.2352,85.8132,0,U,31792,999,92539,.154E-3,.239E-5,0
SL-16 R/B,2007-029B,2025-06-08T02:35:36.847104,14.14788818,.0002002,70.9773,29.5500,280.1698,191.1670,0,U,31793,999,92662,.32918E-4,.16E-6,0
KORONAS-FOTON,2009-003A,2025-06-07T20:26:00.071808,15.36665248,.0013477,82.4328,199.9372,67.4981,292.7688,0,U,33504,999,90345,.21664E-3,.7813E-4,0
CZ-2C R/B,2011-030B,2025-06-07T21:44:52.390752,14.80195725,.0053934,97.8144,117.6348,162.8997,263.5575,0,U,37731,999,74942,.1217E-3,.894E-5,0
H-2A R/B,2012-025E,2025-06-07T22:09:17.303616,14.92981769,.004762,98.4371,100.2645,129.2600,231.2857,0,U,38341,999,70719,.24817E-3,.2568E-4,0
SHIJIAN-16 (SJ-16),2013-057A,2025-06-08T03:14:47.327136,14.91351719,.0016391,74.9718,344.4003,59.0130,301.2665,0,U,39358,999,63063,.85818E-4,.829E-5,0
SL-4 R/B,2014-021B,2025-06-07T16:18:56.553408,15.31550612,.0112729,51.6081,230.2479,186.5210,173.4310,0,U,39679,999,61403,.27712E-3,.1004E-3,0
ALOS-2,2014-029A,2025-06-08T04:43:53.077440,14.79473085,.0001593,97.9214,256.7280,96.2886,263.8507,0,U,39766,999,59631,.20377E-3,.1471E-4,0
YAOGAN-29,2015-069A,2025-06-08T03:32:13.288992,14.82635416,.0002463,98.0342,181.5242,125.8993,234.2449,0,U,41038,999,51519,.58566E-4,.417E-5,0
ASTRO-H (HITOMI),2016-012A,2025-06-08T04:15:28.837440,15.08021592,.0009965,31.0009,325.0782,95.6645,264.5129,0,U,41337,999,51073,.1644E-3,.2687E-4,0
HXMT (HUIYAN),2017-034A,2025-06-08T03:11:26.833344,15.13777401,.0036168,43.0142,98.4320,301.4958,58.2357,0,U,42758,999,44090,.19278E-3,.336E-4,0
CZ-2C R/B,2018-054D,2025-06-07T22:56:31.974432,15.52092354,.0032279,35.1401,347.5828,165.0849,195.0836,0,U,43521,999,38571,.49959E-3,.31892E-3,0
SAOCOM 1A,2018-076A,2025-06-08T03:03:44.891424,14.82158114,.0001456,97.8887,346.2395,91.1828,268.9552,0,U,43641,999,36069,.54293E-4,.38E-5,0
H-2A R/B,2018-084L,2025-06-07T21:02:27.336192,15.30408346,.0031735,98.8745,315.3813,247.7914,111.9955,0,U,43682,999,36361,.36711E-3,.10863E-3,0
SAOCOM 1B,2020-059A,2025-06-08T03:48:42.926688,14.82154783,.0001378,97.8887,345.3733,92.0888,268.0483,0,U,46265,999,25809,.56865E-4,.4E-5,0
CSS (TIANHE),2021-035A,2025-06-08T03:48:49.410144,15.58491085,.0004798,41.4645,75.4357,28.2503,331.8594,0,U,48274,999,23474,.31408E-3,.2442E-3,0
COSMOS 2550,2021-056A,2025-06-08T02:58:22.578816,15.33831633,.0008338,67.1407,151.5159,269.3434,90.6765,0,U,48865,999,22136,.15728E-3,.4986E-4,0
CZ-2C R/B,2022-058K,2025-06-07T12:17:34.677024,15.39843126,.0056232,50.1938,275.8677,136.7817,223.7581,0,U,52794,999,16756,.40952E-3,.17089E-3,0
GSLV R/B,2022-138AN,2025-06-07T17:54:49.416192,14.94801161,.0024714,87.3792,258.4234,72.3199,288.0727,0,U,54149,999,14283,.23314E-3,.2578E-4,0
XRISM,2023-137A,2025-06-07T17:08:31.001280,15.08054907,.0008094,31.0020,257.0220,157.4457,202.6537,0,U,57800,999,9620,.23971E-3,.3878E-4,0
ACS3,2024-077B,2025-06-07T21:22:39.235296,13.78212147,.0059778,97.4771,155.1985,84.1283,276.6684,0,U,59588,999,5621,.62496E-2,.6354E-4,0
